code,name,subcounty_code,county_code
1,Port Reitz,1,1
2,Kipevu,1,1
3,Airport,1,1
4,Changamwe,1,1
5,Chaani,1,1
6,Jomvu Kuu,2,1
7,Miritini,2,1
8,Mikindani,2,1
9,Mjambere,3,1
10,Junda,3,1
11,Bamburi,3,1
12,Mwakirunge,3,1
13,Mtopanga,3,1
14,Magogoni,3,1
15,Shanzu,3,1
16,Frere Town,4,1
17,Ziwa La Ng'ombe,4,1
18,Mkomani,4,1
19,Kongowea,4,1
20,Kadzandani,4,1
21,Mtongwe,5,1
22,Shika Adabu,5,1
23,Bofu,5,1
24,Likoni,5,1
25,Timbwani,5,1
26,Mji Wa Kale/Makadara,6,1
27,Tudor,6,1
28,Tononoka,6,1
29,Shimanzi/Ganjoni,6,1
30,Majengo,6,1
31,Gombato Bongwe,7,2
32,Ukunda,7,2
33,Kinondo,7,2
34,Ramisi,7,2
35,Pongwe/Kikoneni,8,2
36,Dzombo,8,2
37,Mwereni,8,2
38,Vanga,8,2
39,Tsimba Golini,9,2
40,Waa,9,2
41,Tiwi,9,2
42,Kubo South,9,2
43,Mkongani,9,2
44,Ndavaya,10,2
45,Puma,10,2
46,Kinango,10,2
47,Mackinnon Road,10,2
48,Chengoni/Samburu,10,2
49,Mwavumbo,10,2
50,Kasemeni,10,2
51,Tezo,11,3
52,Sokoni,11,3
53,Kibarani,11,3
54,Dabaso,11,3
55,Matsangoni,11,3
56,Watamu,11,3
57,Mnarani,11,3
58,Junju,12,3
59,Mwarakaya,12,3
60,Shimo La Tewa,12,3
61,Chasimba,12,3
62,Mtepeni,12,3
63,Mariakani,13,3
64,Kayafungo,13,3
65,Kaloleni,13,3
66,Mwanamwinga,13,3
67,Mwawesa,14,3
68,Ruruma,14,3
69,Kambe/Ribe,14,3
70,Rabai/Kisurutini,14,3
71,Ganze,15,3
72,Bamba,15,3
73,Jaribuni,15,3
74,Sokoke,15,3
75,Jilore,16,3
76,Kakuyuni,16,3
77,Ganda,16,3
78,Malindi Town,16,3
79,Shella,16,3
80,Marafa,17,3
81,Magarini,17,3
82,Gongoni,17,3
83,Adu,17,3
84,Garashi,17,3
85,Sabaki,17,3
86,Kipini East,18,4
87,Garsen South,18,4
88,Kipini West,18,4
89,Garsen Central,18,4
90,Garsen West,18,4
91,Garsen North,18,4
92,Kinakomba,19,4
93,Mikinduni,19,4
94,Chewani,19,4
95,Wayu,19,4
96,Chewele,20,4
97,Hirimani,20,4
98,Bangale,20,4
99,Sala,20,4
100,Madogo,20,4
101,Faza,21,5
102,Kiunga,21,5
103,Basuba,21,5
104,Shella,22,5
105,Mkomani,22,5
106,Hindi,22,5
107,Mkunumbi,22,5
108,Hongwe,22,5
109,Witu,22,5
110,Bahari,22,5
111,Chala,23,6
112,Mahoo,23,6
113,Bomani,23,6
114,Mboghoni,23,6
115,Mata,23,6
116,Wundanyi/Mbale,24,6
117,Werugha,24,6
118,Wumingu/Kishushe,24,6
119,Mwanda/Mgange,24,6
120,Rong'e,25,6
121,Mwatate,25,6
122,Bura,25,6
123,Chawia,25,6
124,Wusi/Kishamba,25,6
125,Mbololo,26,6
126,Sagalla,26,6
127,Kaloleni,26,6
128,Marungu,26,6
129,Kasigau,26,6
130,Ngolia,26,6
131,Waberi,27,7
132,Galbet,27,7
133,Township,27,7
134,Iftin,27,7
135,Balambala,28,7
136,Danyere,28,7
137,Jara Jara,28,7
138,Saka,28,7
139,Sankuri,28,7
140,Modogashe,29,7
141,Benane,29,7
142,Goreale,29,7
143,Maalimin,29,7
144,Sabena,29,7
145,Baraki,29,7
146,Dertu,30,7
147,Dadaab,30,7
148,Labasigale,30,7
149,Damajale,30,7
